"id","名前","種類","性別","年齢（登録時）","体重","毛色","避妊・去勢","マイクロチップ","ワクチン接種","ひとこと","健康状態","性格","保護された経緯","写真ファイルパス"
"3937","にゃんこID:西表370","ミックス","オス（♂）","推定7歳（2017年07月06日登録）","4.1kg","黒","済","無","済","保護して直後からとても人懐っこく、人の顔を見るとすりすりーと体を寄せてくるところが可愛らしいです。","*良好。*2017年6月ウイルス検査:FIV(-)FeLV(-)*2017年6月混合ワクチン1回目接種済み*ノミ・ダニ駆除済み","","沖縄県竹富町西表島で2017年6月15日に保護されました。","./img/3937/"
"3938","歩","ミックス","オス（♂）","推定4歳（2017年07月08日登録）","4kg","キジトラ","済","無","済","警戒心が強いですが、攻撃性はありません。緊張してる顔がとても可愛いです。","猫エイズ/白血病共に陰性","","2017年3月多頭飼いの飼育放棄により、あにまあるへ引き取られました。攻撃性があるとのことで、処分の対象になりました。","./img/3938/"
"3939","田中ちゃん","ミックス","オス（♂）","0歳2ヵ月（2017年07月09日登録）","0.9kg","キジ","未","無","未","元気一杯の男の子です。初めて猫ちゃんを飼育する方でも、飼いやすい子だと思います。予防や去勢手術などはもちろん、生涯責任を持って飼育してくださる方のみ、ご連絡をお待ちしております。ワクチン・去勢手術まで、通院できる方のみ、ご応募ください。","健康状態は、良好です。元気や食欲もいっぱいです。","人や猫が大好きです。寂しいとよく鳴きます。","先日、保護されました。","./img/3939/"
"3941","しろっぺ","ミックス","メス（♀）","推定11歳（2017年07月09日登録）","2kg","キジトラ白","済","無","済","繊細なこころもありますが、穏やかな性格で人懐こく、とてもフレンドリー、抱っこが大好きです。高齢なので、一緒に過ごす時間もまったりと過ぎていきます。","猫エイズ/白血病共に陰性お口のトラブルで内服中","","2016年冬高齢者のやむを得ない事情であにまあるへ引き取られました。口内炎等があり体調が悪かったので処分の対象になりました。","./img/3941/"
"3942","もとまちくん","ミックス","オス（♂）","0歳2.5ヵ月（2017年07月10日登録）","0.66kg","白黒","未","無","未","とっても人懐っこい、甘えん坊の男の子です。","軽度の鼻炎あり","良","もとまち図書館で弱っている所を保護","./img/3942/"
"3943","子猫36","日本猫","メス（♀）","0歳3ヵ月（2017年07月11日登録）","1.2kg","茶黒(サビ)","未","無","済","長引いた風邪のために、左目がやや閉じ気味で鼻づまりも残りますが、ボランティアさん宅で、とても元気で明るい子に育てていただきました。一緒に暮らす猫たちとも積極的に遊んでいます。","","","平成29年4月、仙台市内で保護されました。","./img/3943/"
"3944","子猫46","ミックス","オス（♂）","0歳3ヵ月（2017年07月11日登録）","1.2kg","キジトラ","未","無","済","長毛がとてもきれいです。ボランティアさん宅で育った、無邪気でかわいらしい子です。ワクチン接種2回済","","","平成29年4月、仙台市内で保護されました。","./img/3944/"
"3945","子猫90","日本猫","オス（♂）","0歳3ヵ月（2017年07月11日登録）","1.5kg","白薄黒","済","有","済","たくさんの兄弟と共に育ちました。活発ですが、上品な雰囲気です。ゴロゴロ喉を鳴らして抱っこされます。","","","平成29年5月、仙台市内で保護されました。","./img/3945/"
"3946","子猫151","日本猫","オス（♂）","0歳3ヵ月（2017年07月11日登録）","1.2kg","黒(薄い縞入り)","済","有","済","初めは少し恥ずかしがり屋な印象を受けますが、活動的な子です。鼻先と耳がスッと伸びて利口な顔つきをしています。人馴れバッチリです。","","","平成29年5月、仙台市内で保護されました。","./img/3946/"
"3947","子猫154","日本猫","オス（♂）","0歳3ヵ月（2017年07月11日登録）","1.2kg","黒白","済","有","済","大きな耳が特徴です。細身な体格ですが順調に体重は増え、やんちゃに走り回っています。人に良く馴れていますが、抱っこされるよりは遊びたいようです。","","","平成29年5月、仙台市内で保護されました。","./img/3947/"
